"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20160706162318","Alabama",27,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Government, state","No answer","Part time",NA,"$50,000 to $59,999",3,0,"No","No difficulty",102,0,0,0,0,284,0,0,0,0,105,0,30,124,0,0,795,780,15,0,0,0,0,284
"20160302162388","Pennsylvania",80,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",25,"$25,000 to $29,999",1,0,"No","No difficulty",45,0,0,70,0,460,85,0,0,0,0,0,0,0,0,20,760,705,55,0,85,0,0,460
"20160908161716","Arizona",30,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, nonprofit","No answer","Full time",40,"$75,000 to $99,999",4,2,"Yes","No difficulty",40,0,0,0,0,330,120,0,0,0,60,0,0,0,30,170,660,660,0,0,120,0,0,330
"20161009160505","New York",17,"Male","Native, Born in USA","Never married","No answer","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"Less than $5,000",3,1,"Yes","Has difficulty",45,0,0,0,0,345,13,0,0,0,0,431,0,0,0,26,550,510,40,0,13,418,13,345
"20161211162084","New Jersey",42,"Male","Foreign born, not US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$75,000 to $99,999",4,2,"Yes","No difficulty",128,0,0,0,20,30,75,0,0,0,52,0,480,0,45,55,555,505,50,0,75,0,0,30
"20160112151756","Louisiana",35,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$75,000 to $99,999",3,1,"Yes","No difficulty",78,0,0,0,0,180,30,0,0,0,118,0,0,0,17,74,943,743,200,0,30,0,0,180
"20160112150949","Pennsylvania",60,"Female","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$50,000 to $59,999",1,0,"No","No difficulty",0,60,0,0,0,430,65,0,0,0,0,0,0,0,0,280,540,540,0,0,65,0,0,430
"20160605162013","New York",75,"Male","Native, Born in USA","Widowed","Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$40,000 to $49,999",1,0,"No","No difficulty",212,0,0,0,0,255,40,0,0,0,145,0,0,0,0,150,638,606,30,2,40,0,0,255
"20161009162401","Pennsylvania",31,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$75,000 to $99,999",4,2,"Yes","No difficulty",75,0,0,0,0,250,165,0,0,0,5,0,0,0,225,120,600,570,30,0,165,0,0,250
"20160303160655","Louisiana",85,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$30,000 to $34,999",1,0,"No","Has difficulty",30,0,0,0,0,570,105,0,0,60,0,0,0,0,0,0,675,615,60,0,105,0,0,570
"20161009160617","New Jersey",62,"Female","Foreign born, US citizen","Divored","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$60,000 to $74,999",1,0,"No","No difficulty",85,0,0,0,60,90,200,0,0,0,0,0,525,0,0,0,480,390,90,0,200,0,0,90
"20160908161827","Washington",64,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Government, local","No answer","Part time",30,"$75,000 to $99,999",2,0,"No","No difficulty",40,0,0,80,45,355,30,0,0,0,0,0,90,0,0,110,690,610,80,0,30,0,0,355
"20160808160554","South Carolina",80,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$40,000 to $49,999",2,0,"No","No difficulty",70,0,0,0,0,490,75,0,0,0,0,0,0,0,0,135,670,580,90,0,75,0,0,490
