"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"17 years old","Male","11th grade","No","White",1.83,90.72,"Never wore a helmet","Always","6 to 9 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","7 days","4 hours per day","2 hours per day","3 or more teams","No","7 hours","1 to 3 times","1 to 3 times","0 times"
"15 years old","Female","10th grade","No","White",1.6,53.07,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","1 to 3 times","1 to 3 times","2 glasses per day","3 days","6 days","Less than 1 hour per day","1 hour per day","1 team","No","8 hours","1 to 3 times","4 to 6 times","2 times"
"18 years old or older","Female","12th grade","No","Black or African American",1.57,58.51,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Not sure","About the right weight","4 or more times per day","2 times per day","Did not eat green salad","1 time per day","Did not drink milk","6 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","5 hours","1 to 3 times","1 to 3 times","0 times"
"14 years old","Male","9th grade","No","White",1.6,61.69,NA,NA,NA,NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","Did not eat green salad","4 to 6 times",NA,NA,"7 days","Less than 1 hour per day","5 or more hours per day",NA,"No","9 hours",NA,NA,NA
"17 years old","Male","12th grade","No","White",1.73,68.04,"Rarely wore a helmet","Most of the time",NA,"0 times","Yes","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 or more times per day","3 times per day","Did not drink soda or pop","Did not drink milk","7 days","7 days","No TV on average school day","No playing video/computer game","1 team","No","5 hours","Did not drink sports drink","4 or more times per day","2 times"
"18 years old or older","Female","12th grade","Yes","Hispanic/Latino",1.65,63.5,"Did not ride a bicycle","Sometimes","0 days","0 times","No","No","No","20 to 29 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","4 to 6 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","0 days","0 days","Less than 1 hour per day","2 hours per day","0 teams",NA,"5 hours",NA,NA,NA
"16 years old","Male","10th grade","No","White",1.7,56.7,"Sometimes wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 time per day","1 time per day","1 to 3 times","1 to 3 glasses","2 days","5 days","No TV on average school day","2 hours per day","0 teams","No","8 hours","Did not drink sports drink","3 times per day","2 times"
"17 years old","Female","12th grade","No","White",1.78,62.6,NA,NA,NA,NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","4 to 6 times","1 time per day",NA,NA,"3 days","No TV on average school day","No playing video/computer game",NA,"No","7 hours",NA,NA,NA
"14 years old","Female","9th grade","No","White",1.57,52.16,NA,NA,"0 days",NA,"Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times",NA,NA,"4 days","No TV on average school day","5 or more hours per day",NA,"No","7 hours",NA,NA,NA
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.63,74.39,"Sometimes wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","1 or 2 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","1 day","2 hours per day","3 hours per day","1 team","No","8 hours","1 to 3 times","1 to 3 times","0 times"
"15 years old","Male","10th grade","No","Black or African American",1.63,83.92,NA,NA,"I did not drive the past 30 days",NA,"No","No","No","0 days","20 to 29 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop",NA,NA,"0 days","No TV on average school day","No playing video/computer game",NA,"Yes","4 or less hours",NA,NA,NA
"15 years old","Male","10th grade","No","Multiple - Non-Hispanic",1.73,73.94,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","3 to 5 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","4 to 6 times","1 to 3 times","1 to 3 times","4 to 6 glasses","7 days","7 days","Less than 1 hour per day","1 hour per day","0 teams","Yes","8 hours","1 to 3 times","4 or more times per day","4 times"
"16 years old","Male","11th grade","No","White",1.75,68.04,NA,NA,"I did not drive the past 30 days",NA,"Yes","Yes","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","4 to 6 times",NA,NA,"5 days","No TV on average school day","3 hours per day",NA,"Yes","5 hours",NA,NA,NA
"16 years old","Male","10th grade","Yes","Hispanic/Latino",1.73,70.31,"Never wore a helmet","Always","1 or 2 days","1 time","No","No","Yes","0 days","0 days",NA,NA,NA,NA,NA,NA,"1 to 3 glasses","5 days","0 days","2 hours per day","5 or more hours per day","0 teams","No",NA,NA,"1 to 3 times","0 times"
"15 years old","Female","10th grade","No","White",1.65,54.43,NA,"Always","I did not drive the past 30 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","4 to 6 times","4 to 6 times","Did not drink soda or pop",NA,"3 days","3 days","No TV on average school day","No playing video/computer game",NA,NA,NA,NA,NA,NA
"15 years old","Female","9th grade","No","Multiple - Non-Hispanic",1.52,42.18,"Most of the time wore a helmet","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","4 to 6 times","1 time per day","4 to 6 times","Did not drink milk","7 days","3 days","Less than 1 hour per day","5 or more hours per day","0 teams","Not sure","6 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Male","11th grade","No","Black or African American",1.75,81.19,"Rarely wore a helmet","Always","I did not drive the past 30 days","1 time","No",NA,"No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","2 days","3 days","2 hours per day",NA,NA,NA,NA,"Did not drink sports drink","4 or more times per day",NA
"17 years old","Male","12th grade","Yes","Multiple - Hispanic / Latino",1.68,74.84,"Rarely wore a helmet","Always",NA,"1 time","Yes","No","No",NA,"1 or 2 days","Heterosexual (straight)","Very underweight","4 to 6 times","3 times per day","1 to 3 times","1 time per day","1 glass per day","7 days","0 days","Less than 1 hour per day","Less than 1 hour per day","1 team","No","7 hours",NA,NA,NA
"17 years old","Female","12th grade","No","White",1.7,69.85,"Sometimes wore a helmet","Always","All 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 time per day","Did not eat green salad","1 to 3 times","2 glasses per day","1 day","5 days","Less than 1 hour per day","No playing video/computer game","1 team","Yes","6 hours","Did not drink sports drink","4 or more times per day","3 times"
"18 years old or older","Female","12th grade","No","White",1.63,53.07,"Never wore a helmet","Most of the time","20 to 29 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","2 times per day","4 to 6 glasses","7 days","4 days","Less than 1 hour per day","1 hour per day","1 team","No","7 hours","Did not drink sports drink","4 to 6 times","2 times"
"17 years old","Female","11th grade","No","Multiple - Non-Hispanic",1.73,90.72,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","Did not drink soda or pop","1 glass per day","5 days","3 days","Less than 1 hour per day","5 or more hours per day","0 teams","No","6 hours",NA,NA,NA
"18 years old or older","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.63,71.67,"Never wore a helmet","Always","1 or 2 days","0 times","Yes","No","Yes","0 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","3 days","0 days","1 hour per day","No playing video/computer game","1 team","No","5 hours","Did not drink sports drink","4 or more times per day","2 times"
"18 years old or older","Male","12th grade","No","White",1.83,57.61,"Sometimes wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Gay or lesbian","Slightly underweight","4 or more times per day","1 time per day","2 times per day","1 to 3 times","1 to 3 glasses","0 days","0 days","Less than 1 hour per day","3 hours per day","0 teams","No","4 or less hours","1 to 3 times","4 or more times per day","1 times"
"15 years old","Male","9th grade","No","Asian",1.68,64.86,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","7 days","7 days","Less than 1 hour per day","5 or more hours per day","3 or more teams","Yes","8 hours","4 to 6 times","4 or more times per day","0 times"
"16 years old","Female","11th grade","No","White",1.65,49.9,"Did not ride a bicycle","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","Did not eat green salad","1 to 3 times","3 glasses per day","7 days","5 days","2 hours per day","Less than 1 hour per day","0 teams","No","8 hours","1 to 3 times","1 to 3 times","0 times"
"16 years old","Male","11th grade","Yes","Hispanic/Latino",1.63,65.77,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","5 days","0 days","No TV on average school day","No playing video/computer game","0 teams","No","8 hours","Did not drink sports drink","4 to 6 times","0 times"
"17 years old","Female","12th grade","No","Black or African American",1.6,68.04,"Did not ride a bicycle","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","2 times per day","Did not eat fruit","Did not eat green salad","1 to 3 times","Did not drink milk","4 days","4 days","5 or more hours per day","5 or more hours per day","0 teams","No","5 hours",NA,NA,NA
"15 years old","Female","10th grade","No","White",1.57,57.15,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","3 to 5 days","3 to 5 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","4 or more times per day","Did not drink milk","3 days","7 days","2 hours per day","Less than 1 hour per day","0 teams","No","8 hours","4 or more times per day","1 to 3 times","3 times"
"17 years old","Male","11th grade","No","White",1.65,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","2 times per day","Did not eat green salad","1 to 3 times","4 or more glasses per day","6 days","4 days","Less than 1 hour per day","4 hours per day","3 or more teams","No","7 hours","Did not drink sports drink","1 time per day","5 or more times"
"16 years old","Male","9th grade","No","White",1.93,81.65,"Never wore a helmet","Rarely","6 to 9 days","6 or 7 times","Yes","Yes","Yes","1 or 2 days","6 to 9 days","Heterosexual (straight)","About the right weight","4 to 6 times","2 times per day","1 to 3 times","1 to 3 times","2 glasses per day","3 days","7 days","Less than 1 hour per day","Less than 1 hour per day","3 or more teams","Yes","7 hours","4 to 6 times","1 to 3 times","2 times"
"15 years old","Male","10th grade","No","Black or African American",1.83,83.46,"Never wore a helmet","Most of the time",NA,"0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","3 times per day","1 time per day","Did not eat green salad","1 to 3 times","1 glass per day","0 days","3 days","4 hours per day","Less than 1 hour per day","1 team","No","8 hours","4 or more times per day","2 times per day","0 times"
"16 years old","Male","9th grade","No","Am Indian / Alaska Native",1.63,45.36,"Never wore a helmet","Rarely","1 or 2 days","8 or 9 times","No","No","No","6 to 9 days","All 30 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","1 time per day","Did not eat green salad","4 or more times per day","2 glasses per day","7 days","4 days","4 hours per day","1 hour per day","0 teams","Yes","4 or less hours","1 time per day","1 to 3 times","1 times"
